date,operator_id,machine_id,task_id,priority,scheduled_start,scheduled_end,task_type,location_zone,target_quantity,status
2025-01-01,OP0001,M0008,DT00022,HIGH,2025-01-01 12:00:00,2025-01-01 14:50:00,Demolition,ZONE-D,356.0,SCHEDULED
2025-01-01,OP0031,M0034,T00276,MEDIUM,2025-01-01 11:59:00,2025-01-02 03:28:42,Hauling,ZONE-B,1718.1,COMPLETED
2025-01-01,OP0023,M0014,T00518,MEDIUM,2025-01-01 06:03:00,2025-01-01 17:32:24,Road Preparation,ZONE-B,3805.5,DELAYED
2025-01-02,OP0035,M0021,T00461,LOW,2025-01-02 08:18:00,2025-01-02 09:54:24,Earth Excavation,ZONE-B,169.6,COMPLETED
2025-01-02,OP0003,M0001,T00422,MEDIUM,2025-01-02 10:26:00,2025-01-02 15:18:18,Earth Excavation,ZONE-A,998.6,COMPLETED
2025-01-02,OP0010,M0023,T00017,MEDIUM,2025-01-02 13:38:00,2025-01-02 14:59:18,Material Stockpiling,ZONE-D,401.0,COMPLETED
2025-01-02,OP0015,M0037,T00635,LOW,2025-01-02 14:18:00,2025-01-02 17:55:30,Road Preparation,ZONE-D,2245.3,COMPLETED
2025-01-02,OP0017,M0012,T00283,LOW,2025-01-02 15:54:00,2025-01-02 17:41:24,Hauling,ZONE-D,310.9,DELAYED
2025-01-02,OP0013,M0028,T00486,HIGH,2025-01-02 08:30:00,2025-01-02 09:39:30,Earth Excavation,ZONE-D,239.2,SCHEDULED
2025-01-02,OP0018,M0027,DT00112,LOW,2025-01-02 08:00:00,2025-01-02 10:56:00,Earth Excavation,ZONE-C,784.1,COMPLETED
2025-01-02,OP0030,M0008,T00522,HIGH,2025-01-02 09:16:00,2025-01-02 12:55:06,Earth Excavation,ZONE-C,785.5,COMPLETED
2025-01-02,OP0040,M0014,T00710,URGENT,2025-01-02 14:02:00,2025-01-02 16:40:12,Hauling,ZONE-B,471.3,COMPLETED
2025-01-03,OP0002,M0017,T00780,MEDIUM,2025-01-03 06:46:00,2025-01-03 12:18:54,Road Preparation,ZONE-A,5385.8,IN_PROGRESS
2025-01-03,OP0002,M0028,DT00142,LOW,2025-01-03 14:00:00,2025-01-03 18:26:00,Road Preparation,ZONE-D,656.6,COMPLETED
2025-01-03,OP0016,M0035,T00542,HIGH,2025-01-03 13:10:00,2025-01-03 16:33:42,Grading,ZONE-A,3402.9,CANCELLED
2025-01-04,OP0026,M0004,T00675,URGENT,2025-01-04 09:18:00,2025-01-04 10:19:54,Grading,ZONE-B,1209.4,CANCELLED
2025-01-04,OP0044,M0036,T00708,MEDIUM,2025-01-04 07:42:00,2025-01-04 15:21:30,Road Preparation,ZONE-A,5923.2,COMPLETED
