timestamp,machine_id,operator_id,task_id,fuel_start_l,fuel_end_l,fuel_used_l,fuel_rate_lph,operating_hours,idle_hours,idle_fuel_l,working_fuel_l,fuel_efficiency_l_per_hour,expected_fuel_rate_lph,fuel_deviation_percent
2025-06-13 11:39:00,M0030,OP0018,T00001,358.4,,2.66,13.3,0.2,0.02,0.14,2.51,13.3,20.0,-33.5
2025-06-13 11:51:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.03,0.14,2.51,13.3,20.0,-33.5
2025-06-13 12:03:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.03,0.14,2.51,13.3,20.0,-33.5
2025-06-13 12:15:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.03,0.14,2.51,13.3,20.0,-33.5
2025-06-13 12:27:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.03,0.14,2.51,13.3,20.0,-33.5
2025-06-13 12:39:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.03,0.14,2.51,13.3,20.0,-33.5
2025-06-13 12:51:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.03,0.14,2.51,13.3,20.0,-33.5
2025-06-13 13:03:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.03,0.14,2.51,13.3,20.0,-33.5
2025-06-13 13:15:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.03,0.14,2.51,13.3,20.0,-33.5
2025-06-13 13:27:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.02,0.14,2.51,13.3,20.0,-33.5
2025-06-13 13:39:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.03,0.14,2.51,13.3,20.0,-33.5
2025-06-13 13:51:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.04,0.14,2.51,13.3,20.0,-33.5
2025-06-13 14:03:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.03,0.14,2.51,13.3,20.0,-33.5
2025-06-13 14:15:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.02,0.14,2.51,13.3,20.0,-33.5
2025-06-13 14:27:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.02,0.14,2.51,13.3,20.0,-33.5
2025-06-13 14:39:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.02,0.14,2.51,13.3,20.0,-33.5
2025-06-13 14:51:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.03,0.14,2.51,13.3,20.0,-33.5
2025-06-13 15:03:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.03,0.14,2.51,13.3,20.0,-33.5
2025-06-13 15:15:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.03,0.14,2.51,13.3,20.0,-33.5
2025-06-13 15:27:00,M0030,OP0018,T00001,,,2.66,13.3,0.2,0.03,0.14,2.51,13.3,20.0,-33.5
