machine_id,machine_type,machine_model,manufacturer,manufacturing_year,machine_age_years,engine_type,rated_power_kw,fuel_capacity_l,operating_weight_kg,site_id,status
M0001,EXCAVATOR,EX-140GC,CatCo,2020,5.6,DIESEL_STAGEV,114.5,739.0,72802,ST007,ACTIVE
M0002,WHEEL_LOADER,WL-140XE,CatCo,2017,8.1,DIESEL_TIER3,248.1,538.0,26632,ST007,ACTIVE
M0003,DOZER,DZ-972,TerraForge,2023,2.3,DIESEL_STAGEV,209.6,884.0,64228,ST013,ACTIVE
M0004,MOTOR_GRADER,MG-160D,CatCo,2017,7.7,DIESEL_TIER4F,179.7,449.0,25577,ST007,ACTIVE
M0005,ARTICULATED_HAULER,AH-120D2,CatCo,2022,2.8,DIESEL_TIER4I,284.5,634.0,31365,ST003,ACTIVE
M0006,BACKHOE_LOADER,BL-390,CatCo,2015,10.5,DIESEL_STAGEV,93.2,182.0,11777,ST010,ACTIVE
M0007,COMPACTOR,CP-950,CatCo,2022,3.4,DIESEL_STAGEV,202.7,315.0,17531,ST012,ACTIVE
M0008,EXCAVATOR,EX-320GC,CatCo,2020,5.3,DIESEL_STAGEV,255.0,549.0,58262,ST008,ACTIVE
M0009,EXCAVATOR,EX-226D2,CatCo,2024,1.1,DIESEL_TIER3,150.8,326.0,38259,ST004,ACTIVE
M0010,ARTICULATED_HAULER,AH-140D2,TerraForge,2018,7.4,DIESEL_TIER4I,425.4,458.0,20590,ST012,ACTIVE
M0011,BACKHOE_LOADER,BL-390D2,TerraForge,2021,4.2,DIESEL_TIER4F,111.8,199.0,9667,ST003,ACTIVE
M0012,ARTICULATED_HAULER,AH-349D,CatCo,2024,0.8,DIESEL_TIER3,448.1,645.0,26912,ST002,IDLE_FLEET
M0013,BACKHOE_LOADER,BL-220GC,TerraForge,2022,3.0,DIESEL_TIER4F,124.2,200.0,8416,ST007,ACTIVE
M0014,ARTICULATED_HAULER,AH-336,CatCo,2017,8.5,DIESEL_STAGEV,333.7,620.0,35186,ST013,ACTIVE
M0015,EXCAVATOR,EX-950D2,CatCo,2022,3.2,DIESEL_TIER4F,127.6,347.0,60310,ST001,ACTIVE
M0016,COMPACTOR,CP-986D2,CatCo,2017,8.3,DIESEL_TIER4F,233.0,321.0,20741,ST006,ACTIVE
M0017,MOTOR_GRADER,MG-390D2,CatCo,2017,8.3,DIESEL_TIER4I,126.9,366.0,19768,ST015,ACTIVE
M0018,EXCAVATOR,EX-226XE,TerraForge,2011,13.8,DIESEL_TIER4I,118.2,603.0,38248,ST014,ACTIVE
M0019,BACKHOE_LOADER,BL-986GC,CatCo,2015,10.6,DIESEL_TIER4F,72.2,211.0,9596,ST002,ACTIVE
M0020,BACKHOE_LOADER,BL-986D,CatCo,2013,12.0,DIESEL_TIER4I,85.4,253.0,8152,ST015,ACTIVE
M0021,MOTOR_GRADER,MG-986XE,CatCo,2013,12.4,DIESEL_TIER3,206.5,404.0,17107,ST014,ACTIVE
M0022,ARTICULATED_HAULER,AH-226D,IronPeak,2023,2.4,DIESEL_TIER4F,454.8,484.0,23191,ST002,ACTIVE
M0023,WHEEL_LOADER,WL-390,CatCo,2016,9.6,DIESEL_TIER4F,171.4,522.0,44070,ST009,ACTIVE
M0024,WHEEL_LOADER,WL-986,CatCo,2013,11.8,DIESEL_STAGEV,128.0,427.0,34910,ST004,ACTIVE
M0025,WHEEL_LOADER,WL-972XE,CatCo,2011,14.4,DIESEL_TIER4F,128.5,575.0,25120,ST011,ACTIVE
M0026,MOTOR_GRADER,MG-336GC,TerraForge,2015,10.0,DIESEL_TIER3,96.2,411.0,21241,ST015,ACTIVE
M0027,EXCAVATOR,EX-390D2,CatCo,2011,14.3,DIESEL_TIER3,299.1,510.0,74502,ST015,ACTIVE
