timestamp,operator_id,machine_id,task_id,idle_ratio,average_rpm,max_rpm,average_speed,hard_braking_count,rapid_acceleration_count,reverse_count,seatbelt_violation_count,proximity_event_count,fuel_efficiency,task_efficiency,behavior_score
2025-01-01 06:03:00,OP0023,M0014,T00518,0.192,1733.0,2335.0,11.8,0,0,23,2,0,23.27,,60.0
2025-01-01 07:00:00,OP0007,M0014,,0.199,1649.0,1814.0,3.8,1,1,3,3,0,13.0,0.489,63.9
2025-01-01 09:00:00,OP0047,M0038,,0.056,2225.0,2560.0,1.1,2,1,8,0,0,21.18,1.017,90.0
2025-01-01 09:00:00,OP0033,M0039,,0.139,1472.0,1721.0,4.2,0,0,5,2,0,12.16,1.062,75.1
2025-01-01 11:59:00,OP0031,M0034,T00276,0.237,1628.0,2300.0,1.6,0,0,31,1,1,17.32,,40.8
2025-01-01 12:00:00,OP0024,M0032,,0.14,1644.0,1863.0,5.0,0,0,9,0,0,22.03,0.674,87.4
2025-01-01 13:00:00,OP0032,M0031,,0.089,2008.0,2399.0,12.7,0,1,3,0,0,9.1,0.98,86.8
2025-01-01 13:00:00,OP0047,M0028,,0.157,2145.0,2267.0,4.5,0,2,6,1,0,16.55,0.823,78.4
2025-01-01 14:00:00,OP0042,M0031,,0.228,1881.0,2225.0,13.0,2,0,8,0,0,12.26,0.813,75.9
2025-01-01 14:00:00,OP0051,M0027,,0.224,1489.0,1601.0,3.6,0,0,6,0,0,22.86,1.009,83.2
2025-01-01 15:00:00,OP0014,M0037,,0.119,1804.0,2092.0,6.7,2,0,5,2,0,4.58,0.982,68.2
2025-01-01 15:00:00,OP0001,M0022,,0.101,1971.0,2084.0,13.7,1,1,6,0,0,19.56,0.831,90.1
2025-01-01 15:00:00,OP0034,M0014,,0.287,1928.0,2192.0,2.1,1,0,5,1,0,18.23,0.925,78.6
2025-01-02 06:00:00,OP0010,M0034,,0.118,1983.0,2323.0,3.0,1,0,7,0,0,19.1,1.006,86.3
2025-01-02 06:00:00,OP0044,M0032,,0.164,1982.0,2365.0,5.0,0,2,6,1,0,18.47,1.022,80.3
2025-01-02 06:00:00,OP0038,M0028,,0.259,1663.0,2020.0,1.5,1,1,5,2,0,9.18,0.562,61.9
