event_id,timestamp,machine_id,operator_id,task_id,site_id,event_type,severity,machine_speed_kmh,machine_state,distance_to_person_m,distance_to_vehicle_m,distance_to_obstacle_m,seatbelt_status,duration_seconds,resolved
SE000001,2025-06-13 14:17:00,M0030,OP0018,T00001,ST009,SEATBELT_VIOLATION,LOW,0.5,DUMPING,,,,UNFASTENED,127,False
SE000002,2025-02-20 13:21:00,M0001,OP0026,T00003,ST007,SEATBELT_VIOLATION,LOW,0.5,DIGGING,,,,UNFASTENED,144,False
SE000003,2025-02-20 13:24:00,M0001,OP0026,T00003,ST007,OBSTACLE_PROXIMITY,CRITICAL,0.8,REVERSING,,,1.4,FASTENED,24,False
SE000004,2025-02-20 13:37:00,M0001,OP0026,T00003,ST007,SEATBELT_VIOLATION,LOW,2.7,WORKING,,,,UNFASTENED,154,False
SE000005,2025-08-11 10:09:00,M0032,OP0041,T00004,ST008,VEHICLE_PROXIMITY,LOW,5.3,TRAVELING,,6.5,,FASTENED,41,True
SE000006,2025-08-11 11:35:00,M0032,OP0041,T00004,ST008,VEHICLE_PROXIMITY,MEDIUM,2.4,WORKING,,3.9,,FASTENED,58,False
SE000007,2025-08-11 12:09:00,M0032,OP0041,T00004,ST008,SEATBELT_VIOLATION,MEDIUM,1.1,REVERSING,,,,UNFASTENED,134,True
SE000008,2025-05-01 14:16:00,M0003,OP0041,T00008,ST013,HARSH_BRAKING,LOW,3.7,REVERSING,,,,FASTENED,5,True
SE000009,2025-05-01 14:42:00,M0003,OP0041,T00008,ST013,SEATBELT_VIOLATION,MEDIUM,2.8,DUMPING,,,,UNFASTENED,104,True
SE000010,2025-05-21 07:46:00,M0036,OP0053,T00010,ST006,SEATBELT_VIOLATION,LOW,1.5,WORKING,,,,UNFASTENED,60,True
SE000011,2025-05-21 09:59:00,M0036,OP0053,T00010,ST006,OBSTACLE_PROXIMITY,HIGH,6.6,TRAVELING,,,1.3,FASTENED,8,True
SE000012,2025-05-21 10:31:00,M0036,OP0053,T00010,ST006,HARSH_BRAKING,LOW,12.2,TRAVELING,,,,FASTENED,4,True
SE000013,2025-01-30 15:36:00,M0008,OP0016,T00014,ST008,SEATBELT_VIOLATION,LOW,0.0,DIGGING,,,,UNFASTENED,150,True
SE000014,2025-01-30 16:24:00,M0008,OP0016,T00014,ST008,OBSTACLE_PROXIMITY,LOW,0.6,LOADING,,,7.2,FASTENED,25,True
SE000015,2025-01-02 15:30:00,M0023,OP0010,T00017,ST009,PERSON_PROXIMITY,LOW,0.2,DUMPING,5.6,,,FASTENED,58,True
SE000016,2025-05-20 16:44:00,M0008,OP0027,T00020,ST008,OBSTACLE_PROXIMITY,MEDIUM,5.2,REVERSING,,,4.2,FASTENED,58,True
SE000017,2025-04-24 11:25:00,M0035,OP0038,T00021,ST013,SEATBELT_VIOLATION,MEDIUM,2.1,WORKING,,,,UNFASTENED,20,True
SE000018,2025-01-30 16:38:00,M0038,OP0022,T00023,ST004,SEATBELT_VIOLATION,MEDIUM,1.0,DUMPING,,,,UNFASTENED,46,False
SE000019,2025-01-30 18:13:00,M0038,OP0022,T00023,ST004,HARSH_BRAKING,LOW,3.3,REVERSING,,,,FASTENED,8,True
SE000020,2025-01-30 19:08:00,M0038,OP0022,T00023,ST004,OBSTACLE_PROXIMITY,LOW,8.3,TRAVELING,,,9.0,FASTENED,9,True
SE000021,2025-01-30 19:24:00,M0038,OP0022,T00023,ST004,OBSTACLE_PROXIMITY,LOW,2.8,WORKING,,,8.0,FASTENED,58,True
SE000022,2025-01-30 19:44:00,M0038,OP0022,T00023,ST004,SEATBELT_VIOLATION,LOW,0.1,WORKING,,,,UNFASTENED,151,True
SE000023,2025-04-08 14:38:00,M0023,OP0030,T00025,ST009,SEATBELT_VIOLATION,LOW,1.0,DUMPING,,,,UNFASTENED,84,True
SE000024,2025-07-23 18:34:00,M0001,OP0018,T00026,ST007,OBSTACLE_PROXIMITY,LOW,1.1,DIGGING,,,5.2,FASTENED,12,True
SE000025,2025-06-17 11:01:00,M0035,OP0043,T00027,ST013,OVERSPEED,HIGH,24.0,TRAVELING,,,,FASTENED,20,True
SE000026,2025-09-09 15:45:00,M0041,OP0055,T00028,ST008,SEATBELT_VIOLATION,MEDIUM,1.4,DIGGING,,,,UNFASTENED,79,False
SE000027,2025-09-09 16:07:00,M0041,OP0055,T00028,ST008,PERSON_PROXIMITY,LOW,1.7,DIGGING,5.8,,,FASTENED,15,True
SE000028,2025-09-09 17:49:00,M0041,OP0055,T00028,ST008,UNSAFE_REVERSING,LOW,5.0,REVERSING,,,,FASTENED,11,True
SE000029,2025-04-14 14:42:00,M0042,OP0014,T00029,ST011,HARSH_BRAKING,LOW,8.1,REVERSING,,,,FASTENED,2,True
SE000030,2025-04-14 15:12:00,M0042,OP0014,T00029,ST011,SEATBELT_VIOLATION,LOW,2.4,DUMPING,,,,UNFASTENED,28,True
SE000031,2025-09-09 10:10:00,M0014,OP0045,T00030,ST013,VEHICLE_PROXIMITY,LOW,2.8,LOADING,,8.3,,FASTENED,4,True
SE000032,2025-09-09 10:13:00,M0014,OP0045,T00030,ST013,VEHICLE_PROXIMITY,HIGH,1.2,LOADING,,1.4,,FASTENED,22,True
SE000033,2025-09-09 10:20:00,M0014,OP0045,T00030,ST013,SEATBELT_VIOLATION,HIGH,32.9,TRAVELING,,,,UNFASTENED,111,False
