task_id,source_task_id,machine_type,machine_model,task_type,operator_skill_level,operator_experience_years,material_type,material_density,target_quantity,terrain_type,terrain_slope_percent,soil_moisture,weather_condition,temperature_c,rainfall_mm,visibility_m,distance_m,machine_age_years,idle_ratio,average_engine_load,average_rpm,estimated_duration_min,actual_duration_min
TH00001,T00001,EXCAVATOR,EX-972,Trenching,INTERMEDIATE,7.0,ROCK_FILL,2.2,179.3,UNEVEN,0.2,10.2,FOG,12.6,0.6,234.0,2744.0,7.8,0.143,46.6,1168.0,106.1,164.6
TH00002,,MOTOR_GRADER,MG-220D2,Road Preparation,BEGINNER,1.8,SAND,1.5,5876.3,UNEVEN,0.0,10.7,CLOUDY,17.7,0.0,4860.0,184.0,1.2,0.261,73.6,2097.0,555.6,597.6
TH00003,,EXCAVATOR,EX-140GC,Demolition,INTERMEDIATE,3.0,SAND,1.5,294.6,UNEVEN,0.0,30.9,RAINY,17.5,7.7,1630.0,3232.0,5.6,0.165,75.7,1147.0,121.7,153.5
TH00004,,EXCAVATOR,EX-950D2,Material Loading,BEGINNER,1.5,CRUSHED_STONE,1.7,380.9,HILLY,14.2,42.1,RAINY,30.0,13.3,1166.0,1172.0,3.2,0.349,62.3,1342.0,119.2,236.1
TH00005,,COMPACTOR,CP-950,Demolition,EXPERT,23.4,TOPSOIL,1.3,285.9,ROLLING,5.7,21.8,WINDY,21.4,0.0,3984.0,1945.0,3.4,0.059,58.4,1615.0,166.8,193.0
TH00006,T00006,WHEEL_LOADER,WL-390D2,Material Loading,INTERMEDIATE,6.8,SAND,1.5,1823.8,ROLLING,8.1,13.6,CLOUDY,19.9,0.0,4149.0,1024.0,14.3,0.069,55.7,1777.0,444.9,502.7
TH00007,,ARTICULATED_HAULER,AH-336,Hauling,EXPERT,12.7,ASPHALT_MILLINGS,1.4,2027.4,UNEVEN,0.0,14.4,CLOUDY,25.5,0.0,4268.0,2470.0,8.5,0.082,72.7,1361.0,578.6,998.5
TH00008,,MOTOR_GRADER,MG-986XE,Earth Excavation,BEGINNER,2.0,CRUSHED_STONE,1.7,566.9,FLAT,0.0,30.9,RAINY,17.0,8.0,1517.0,1973.0,12.4,0.24,50.7,1489.0,394.0,681.1
TH00009,,BACKHOE_LOADER,BL-220GC,Trenching,EXPERT,18.2,ASPHALT_MILLINGS,1.4,199.1,UNEVEN,2.5,12.1,CLOUDY,25.1,0.0,7349.0,1358.0,3.0,0.118,73.0,1547.0,102.5,103.2
TH00010,T00010,DOZER,DZ-349D,Material Stockpiling,INTERMEDIATE,7.6,CLAY,1.6,907.9,ROLLING,6.7,49.7,RAINY,18.5,13.5,1900.0,1898.0,10.1,0.146,43.6,2361.0,197.2,380.9
TH00011,T00011,ARTICULATED_HAULER,AH-336,Hauling,INTERMEDIATE,5.8,ASPHALT_MILLINGS,1.4,1318.0,UNEVEN,0.8,6.6,CLOUDY,24.0,0.0,6092.0,1618.0,8.5,0.091,80.7,1881.0,451.2,533.1
TH00012,T00012,BACKHOE_LOADER,BL-986GC,Trenching,EXPERT,15.9,ASPHALT_MILLINGS,1.4,350.7,MOUNTAINOUS,11.8,12.2,SUNNY,36.7,0.0,4220.0,3037.0,7.3,0.135,59.6,1893.0,169.6,194.1
TH00013,T00013,DOZER,DZ-986D2,Material Stockpiling,INTERMEDIATE,3.9,GRAVEL,1.8,2408.6,FLAT,2.7,4.6,SUNNY,20.5,0.0,6814.0,3412.0,13.6,0.13,40.0,1390.0,497.8,1005.6
TH00014,T00014,EXCAVATOR,EX-320GC,Trenching,BEGINNER,1.6,SAND,1.5,543.2,MOUNTAINOUS,11.8,10.5,CLOUDY,18.6,0.0,5447.0,3199.0,5.3,0.259,69.0,1760.0,415.8,576.8
TH00015,,EXCAVATOR,EX-226XE,Road Preparation,BEGINNER,1.4,CLAY,1.6,725.5,FLAT,2.8,8.7,FOG,26.3,0.8,120.0,2297.0,13.8,0.254,65.9,1384.0,128.1,238.0
TH00016,,EXCAVATOR,EX-140GC,Earth Excavation,BEGINNER,1.8,GRAVEL,1.8,1215.2,UNEVEN,4.1,3.0,SUNNY,25.7,0.0,,345.0,5.6,0.272,53.7,2400.0,442.4,515.4
TH00017,,EXCAVATOR,EX-336XE,Material Loading,BEGINNER,1.8,CLAY,1.6,2224.8,UNEVEN,5.3,41.1,STORM,17.9,17.4,234.0,1554.0,4.7,0.179,50.2,2400.0,699.8,2265.4
TH00018,,COMPACTOR,CP-972D2,Demolition,BEGINNER,0.5,CRUSHED_STONE,1.7,469.6,MOUNTAINOUS,29.1,3.0,CLOUDY,25.1,0.0,8179.0,318.0,4.2,0.173,81.0,1308.0,407.6,624.5
TH00019,,BACKHOE_LOADER,BL-986D,Trenching,INTERMEDIATE,7.6,CRUSHED_STONE,1.7,495.4,FLAT,0.2,31.3,RAINY,24.3,3.1,639.0,1645.0,12.0,0.026,50.5,1429.0,288.7,395.1
TH00020,T00020,EXCAVATOR,EX-320GC,Earth Excavation,BEGINNER,1.5,CRUSHED_STONE,1.7,130.5,MOUNTAINOUS,11.8,15.3,SUNNY,11.5,0.0,9864.0,790.0,5.3,0.275,79.7,1370.0,49.7,56.8
TH00021,,EXCAVATOR,EX-220XE,Material Loading,INTERMEDIATE,7.1,ASPHALT_MILLINGS,1.4,106.9,ROLLING,4.8,47.5,RAINY,21.5,14.3,1928.0,1750.0,10.9,0.208,35.4,1792.0,25.3,41.7
