task_id,machine_id,operator_id,site_id,task_type,task_status,scheduled_start,scheduled_end,target_quantity,quantity_unit,estimated_duration_min,actual_duration_min,task_efficiency
T00001,M0030,OP0018,ST009,Trenching,DELAYED,2025-06-13 11:39:00,2025-06-13 15:01:24,361.7,m,202.4,338.9,
T00002,M0035,OP0003,ST013,Soil Compaction,COMPLETED,2025-03-25 13:58:00,2025-03-25 19:07:06,4822.1,m2,309.1,485.3,0.637
T00003,M0001,OP0026,ST007,Material Loading,COMPLETED,2025-02-20 12:24:00,2025-02-20 20:07:06,1942.7,tons,463.1,519.1,0.892
T00004,M0032,OP0041,ST008,Material Stockpiling,COMPLETED,2025-08-11 08:54:00,2025-08-11 13:48:24,1047.0,tons,294.4,439.1,0.67
T00005,M0003,OP0032,ST013,Demolition,SCHEDULED,2025-05-26 07:42:00,2025-05-26 13:04:12,912.6,m3,322.2,,
T00006,M0040,OP0031,ST002,Material Loading,SCHEDULED,2025-06-27 12:12:00,2025-06-27 17:22:36,1332.3,tons,310.6,,
T00007,M0004,OP0028,ST007,Grading,COMPLETED,2025-04-05 14:27:00,2025-04-05 15:41:24,1543.7,m2,74.4,72.9,1.021
T00008,M0003,OP0041,ST013,Material Stockpiling,COMPLETED,2025-05-01 12:14:00,2025-05-01 16:58:54,1045.9,tons,284.9,467.4,0.61
T00009,M0034,OP0038,ST014,Material Loading,CANCELLED,2025-08-30 13:01:00,2025-08-30 20:47:00,1996.7,tons,466.0,,
T00010,M0036,OP0053,ST006,Material Stockpiling,COMPLETED,2025-05-21 07:40:00,2025-05-21 14:27:54,1874.9,tons,407.9,807.5,0.505
T00011,M0014,OP0017,ST013,Hauling,SCHEDULED,2025-08-22 11:44:00,2025-08-22 19:45:54,1354.0,tons,481.9,,
T00012,M0041,OP0032,ST008,Trenching,CANCELLED,2025-09-23 08:51:00,2025-09-23 13:24:54,559.8,m,273.9,,
T00013,M0029,OP0012,ST010,Material Stockpiling,COMPLETED,2025-03-01 14:31:00,2025-03-01 14:53:00,103.5,tons,22.0,43.2,0.509
