operator_id,training_id,assigned_date,completion_date,status,score,reason_recommended
OP0001,TRN002,2025-06-14,,ASSIGNED,,Periodic refresher recommended
OP0002,TRN028,2025-08-11,,ASSIGNED,,Periodic refresher recommended
OP0003,TRN013,2025-03-01,2025-03-06,COMPLETED,64.9,High idle ratio relative to peer baseline
OP0003,TRN011,2025-09-09,2025-09-24,COMPLETED,69.9,Periodic refresher recommended
OP0004,TRN023,2025-02-10,2025-02-25,COMPLETED,100.0,Periodic refresher recommended
OP0004,TRN020,2025-02-08,2025-02-15,COMPLETED,97.5,Periodic refresher recommended
OP0005,TRN012,2025-09-12,,IN_PROGRESS,,High idle ratio relative to peer baseline
OP0005,TRN003,2025-08-31,2025-09-18,COMPLETED,65.0,Seatbelt violations detected in recent shifts
OP0005,TRN018,2025-02-07,2025-02-26,COMPLETED,70.0,New operator onboarding
OP0005,TRN009,2025-01-14,2025-01-19,COMPLETED,64.9,Periodic refresher recommended
OP0006,TRN005,2025-05-14,2025-05-15,COMPLETED,80.8,Seatbelt violations detected in recent shifts
OP0006,TRN009,2025-07-24,2025-08-07,COMPLETED,81.0,Engine RPM / fuel consumption above expected range
OP0006,TRN025,2025-08-01,2025-08-08,COMPLETED,95.9,Periodic refresher recommended
OP0006,TRN002,2025-05-02,,IN_PROGRESS,,Periodic refresher recommended
OP0007,TRN014,2025-04-16,,ASSIGNED,,High idle ratio relative to peer baseline
OP0007,TRN003,2025-01-29,,IN_PROGRESS,,Seatbelt violations detected in recent shifts
OP0007,TRN017,2025-06-12,,OVERDUE,,Repeated proximity events flagged by system
OP0007,TRN021,2025-01-24,2025-02-06,COMPLETED,50.3,New operator onboarding
OP0007,TRN027,2025-09-05,2025-09-08,COMPLETED,53.6,Task efficiency below site baseline
OP0007,TRN010,2025-02-16,,OVERDUE,,Periodic refresher recommended
OP0007,TRN012,2025-09-02,,ASSIGNED,,Periodic refresher recommended
OP0008,TRN012,2025-04-15,,OVERDUE,,High idle ratio relative to peer baseline
OP0008,TRN008,2025-02-03,,OVERDUE,,Seatbelt violations detected in recent shifts
OP0008,TRN015,2025-09-06,,IN_PROGRESS,,Repeated proximity events flagged by system
OP0008,TRN010,2025-07-28,2025-08-07,COMPLETED,54.9,Engine RPM / fuel consumption above expected range
OP0008,TRN021,2025-09-09,2025-09-15,COMPLETED,54.9,New operator onboarding
OP0008,TRN027,2025-07-16,2025-07-23,COMPLETED,50.7,Task efficiency below site baseline
OP0008,TRN028,2025-09-15,,OVERDUE,,Periodic refresher recommended
OP0008,TRN009,2025-05-30,,IN_PROGRESS,,Periodic refresher recommended
OP0009,TRN013,2025-04-29,,IN_PROGRESS,,High idle ratio relative to peer baseline
OP0009,TRN003,2025-04-14,2025-04-20,COMPLETED,56.9,Seatbelt violations detected in recent shifts
OP0009,TRN020,2025-08-10,2025-08-22,COMPLETED,47.2,New operator onboarding
OP0010,TRN011,2025-04-23,,ASSIGNED,,Engine RPM / fuel consumption above expected range
OP0010,TRN012,2025-03-20,,ASSIGNED,,Periodic refresher recommended
OP0011,TRN012,2025-03-03,,IN_PROGRESS,,High idle ratio relative to peer baseline
OP0011,TRN002,2025-03-28,,IN_PROGRESS,,Seatbelt violations detected in recent shifts
OP0011,TRN017,2025-06-04,,OVERDUE,,Repeated proximity events flagged by system
